Cell ID,Voltage (V),Height (mm),Result,Reject Reason
1,4.19,80.04,PASS,None
2,3.42,80.59,REJECT,Voltage and Height
3,3.31,79.07,REJECT,Voltage and Height
4,3.64,80.79,REJECT,Height
5,3.32,80.94,REJECT,Voltage and Height
6,3.84,80.68,REJECT,Height
7,3.62,79.32,REJECT,Height
8,3.54,80.58,REJECT,Height
9,4.33,80.46,REJECT,Voltage
10,4.35,80.64,REJECT,Voltage and Height
11,3.4,80.2,REJECT,Voltage
12,3.83,79.84,PASS,None
13,4.05,79.02,REJECT,Height
14,4.18,80.52,REJECT,Height
15,4.14,79.23,REJECT,Height
16,3.95,79.41,REJECT,Height
17,4.0,79.11,REJECT,Height
18,3.39,80.35,REJECT,Voltage
19,4.17,79.38,REJECT,Height
20,3.82,79.95,PASS,None
21,3.34,80.98,REJECT,Voltage and Height
22,4.19,80.25,PASS,None
23,4.08,79.83,PASS,None
24,4.04,80.55,REJECT,Height
25,4.01,80.34,PASS,None
26,3.54,80.33,PASS,None
27,3.81,80.66,REJECT,Height
28,4.33,79.69,REJECT,Voltage
29,3.45,79.35,REJECT,Voltage and Height
30,3.44,79.94,REJECT,Voltage
31,3.68,79.04,REJECT,Height
32,4.18,80.14,PASS,None
33,3.33,80.86,REJECT,Voltage and Height
34,3.93,79.08,REJECT,Height
35,3.4,80.69,REJECT,Voltage and Height
36,3.55,80.97,REJECT,Height
37,3.5,79.36,REJECT,Height
38,4.04,79.33,REJECT,Height
39,4.05,79.7,PASS,None
40,3.75,79.8,PASS,None
41,4.11,79.89,PASS,None
42,3.53,80.7,REJECT,Height
43,3.99,80.23,PASS,None
44,4.37,79.01,REJECT,Voltage and Height
45,4.04,80.77,REJECT,Height
46,4.33,79.41,REJECT,Voltage and Height
47,3.72,80.59,REJECT,Height
48,3.91,79.94,PASS,None
49,4.05,79.8,PASS,None
50,4.35,80.35,REJECT,Voltage
51,4.27,79.43,REJECT,Voltage and Height
52,3.95,80.02,PASS,None
53,4.2,80.22,PASS,None
54,3.76,80.06,PASS,None
55,4.08,79.56,PASS,None
56,4.29,79.79,REJECT,Voltage
57,4.3,80.01,REJECT,Voltage
58,4.21,80.07,REJECT,Voltage
59,4.05,80.1,PASS,None
60,4.1,80.29,PASS,None
61,4.39,79.51,REJECT,Voltage
62,3.61,79.26,REJECT,Height
63,3.72,79.02,REJECT,Height
64,4.16,79.08,REJECT,Height
65,3.72,80.09,PASS,None
66,4.07,79.89,PASS,None
67,4.2,79.73,PASS,None
68,4.0,80.03,PASS,None
69,3.48,80.78,REJECT,Voltage and Height
70,3.35,79.87,REJECT,Voltage
71,3.48,79.34,REJECT,Voltage and Height
72,4.13,80.78,REJECT,Height
73,3.5,80.54,REJECT,Height
74,3.87,80.76,REJECT,Height
75,4.23,80.78,REJECT,Voltage and Height
76,3.38,79.33,REJECT,Voltage and Height
77,3.51,80.82,REJECT,Height
78,3.64,79.87,PASS,None
79,3.32,79.25,REJECT,Voltage and Height
80,3.48,80.75,REJECT,Voltage and Height
81,3.34,79.81,REJECT,Voltage
82,4.29,80.28,REJECT,Voltage
83,3.81,79.72,PASS,None
84,3.45,79.96,REJECT,Voltage
85,4.08,79.29,REJECT,Height
86,3.41,80.09,REJECT,Voltage
87,3.97,79.94,PASS,None
88,3.75,79.34,REJECT,Height
89,3.35,79.25,REJECT,Voltage and Height
90,3.31,79.31,REJECT,Voltage and Height
91,4.13,80.04,PASS,None
92,4.1,80.34,PASS,None
93,3.34,79.64,REJECT,Voltage
94,3.56,79.53,PASS,None
95,4.1,79.82,PASS,None
96,3.86,79.78,PASS,None
97,3.55,80.38,PASS,None
98,3.89,80.32,PASS,None
99,4.27,79.67,REJECT,Voltage
100,3.71,80.99,REJECT,Height
